facility_id,County,n_inspections,n_investigations,n_enforcement,n_limitations,n_other,n_docs_total,n_civil_fines,n_stop_placement,n_conditions,years_present,latest_year,latest_enforcement_year,fetch_status
OR-F00459,Washington,8,1,2,5,0,15,0,0,2,,,,ok
OR-F00294,Washington,4,2,2,59,0,65,0,0,2,,,,ok
OR-F00669,Washington,2,0,0,22,0,24,0,0,0,,,,ok
OR-F00449,Washington,3,0,0,7,0,10,0,0,0,,,,ok
OR-F00163,Washington,6,3,0,1,0,7,0,0,0,,,,ok
OR-F00405,Washington,1,0,2,0,0,3,0,0,2,,,,ok
OR-F00600,Washington,1,0,0,1,0,2,0,0,0,,,,ok
OR-F00050,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00062,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00024,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00463,Washington,4,1,0,1,0,5,0,0,0,,,,ok
OR-F00480,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00722,Washington,5,2,0,1,0,6,0,0,0,,,,ok
OR-F00734,Washington,3,0,0,1,0,4,0,0,0,,,,ok
