facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
OR-F00464,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,0,0,0,0,3,,,1,1,
OR-F00707,Open,Washington,3,AFH,,,,2026-07-06,No/Unknown,2,0,0,1,0,0,0,3,,,1,1,
OR-F00658,Open,Washington,75,ALF,Medicaid,,,2026-07-06,Yes,12,10,4,63,0,0,4,79,,,1,1,
OR-F00058,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00232,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,2,0,0,0,4,,,1,1,
OR-F00019,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00109,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00581,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,0,0,0,0,3,,,1,1,
OR-F00158,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,0,0,0,0,1,,,1,1,
OR-F00558,Open,Washington,4,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,2,0,0,0,5,,,1,1,
OR-F00086,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00481,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,1,0,0,0,4,,,1,1,
OR-F00076,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00087,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00051,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00273,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,6,0,0,0,9,,,1,1,
OR-F00705,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,2,0,0,0,5,,,1,1,
OR-F00073,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00159,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,1,0,2,0,0,0,8,,,1,1,
OR-F00404,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,3,0,0,0,6,,,1,1,
OR-F00132,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00067,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00782,Open,Washington,4,AFH,Medicaid,,,2026-07-06,Yes,6,1,1,1,0,0,1,8,,,1,1,
