facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
OR-F00086,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00481,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00076,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00087,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00051,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00273,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00705,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00073,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00159,Washington,5,Yes,AFH,Medicaid,6,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00404,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00132,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00067,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00782,Washington,4,Yes,AFH,Medicaid,6,1,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00691,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00390,Washington,5,No/Unknown,AFH,,24,1,6,0,0,6,1,False,False,False,True,False,True,False,
OR-F00540,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00373,Washington,5,Yes,AFH,Medicaid,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00166,Washington,4,No/Unknown,AFH,,10,2,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00310,Washington,27,Yes,"RCF, Memory Care",Medicaid,4,1,3,0,0,3,2,True,False,False,True,False,True,False,
OR-F00635,Washington,59,Yes,ALF,Medicaid,3,0,1,0,0,1,2,True,False,False,True,False,True,False,
OR-F00256,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00521,Washington,5,Yes,AFH,Medicaid,6,2,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00605,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00299,Washington,62,Yes,"RCF, Memory Care",Medicaid,5,2,4,0,0,4,1,False,False,False,True,False,True,False,
OR-F00047,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00397,Washington,5,Yes,AFH,Medicaid,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00447,Washington,5,Yes,AFH,Medicaid,7,2,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00095,Washington,2,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00081,Washington,4,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00270,Washington,5,Yes,AFH,Medicaid,6,4,0,0,0,0,1,False,False,True,False,False,False,False,
OR-F00177,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00771,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00624,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00225,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00265,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00586,Washington,5,Yes,AFH,Medicaid,6,3,0,0,0,0,1,False,False,True,False,False,False,False,
OR-F00695,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00229,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00277,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00084,Washington,3,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00267,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00478,Washington,5,Yes,AFH,Medicaid,6,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00741,Washington,5,Yes,AFH,Medicaid,4,2,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00137,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00749,Washington,4,Yes,AFH,Medicaid,4,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00323,Washington,30,Yes,RCF,Medicaid,4,1,0,0,0,0,5,True,True,False,False,False,False,False,
OR-F00227,Washington,5,Yes,AFH,Medicaid,6,2,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00293,Washington,72,Yes,"RCF, Memory Care",Medicaid,3,0,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00028,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00417,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00018,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00146,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00568,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00406,Washington,5,Yes,AFH,Medicaid,5,1,1,0,0,1,1,False,False,False,True,False,True,False,
OR-F00547,Washington,3,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00316,Washington,32,No/Unknown,"RCF, Memory Care",,5,1,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00335,Washington,31,Yes,"RCF, Memory Care",Medicaid,4,1,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00326,Washington,12,No/Unknown,"RCF, Memory Care",,4,1,1,0,0,1,2,True,False,False,True,False,True,False,
OR-F00660,Washington,44,Yes,ALF,Medicaid,3,0,1,0,0,1,2,True,False,False,True,False,True,False,
